"Sistem penilaian tingkat kesulitan level pada game platformer menggunakan
obstacle matrix",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Komparasi algoritma c.45, k-nearest neighbor, multilayer perceptron, dan
naive bayes pada model kognitif pemain game chem dungeon",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Desain dan pengembangan permainan amogasakti trading card game
bertema mitologi pewayangan menggunakan game development life cycle",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Pengembangan game pengenalan ekspresi wajah manusia untuk anak
autisme menggunakan metode design thinking",Teknologi Digital Cerdas (Ubiquitous Computing Technique),Klasifikasi sebagai Teknologi Digital Cerdas (Ubiquitous Computing Technique)
Pengembangan dan implementasi desain ui,Teknologi Digital Cerdas (Ubiquitous Computing Technique),Klasifikasi sebagai Teknologi Digital Cerdas (Ubiquitous Computing Technique)
"Sistem rekomendasi pembelian item menggunakan algoritma simple
additive weighting (saw) pada game seal online blade of destiny",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Pengembangan game anatomia untuk anak-anak berbasis android
menggunakan metode design thinking",Teknologi Digital Cerdas (Ubiquitous Computing Technique),Klasifikasi sebagai Teknologi Digital Cerdas (Ubiquitous Computing Technique)
"Analisis Permainan Battle Royale Player Unknown’s Battlegrounds Mobile
{Pubg Mobile) Terkait Faktor-Faktor yang Mempengaruhi Minat Pemain
Berdasarkan Game Design Factors",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Mengukur flow dalam game edukasi penjelajahan kebudayaan Indonesia
berbasis 2d platformer dan augmented reality",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Kategorisasi musik latar game dengan menggunakan kombinasi k-nearest
neighbors dan agglomerative clustering",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Analisis game populer pada platform steam menggunakan metode k-means
clustering dan k-nearest neighbor",Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),Klasifikasi sebagai Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science)
Prediksi kesuksesan game indie menggunakan decision tree,Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Pengembangan game edukasi untuk anak autis menggunakan metode
design thinking",Teknologi Digital Cerdas (Ubiquitous Computing Technique),Klasifikasi sebagai Teknologi Digital Cerdas (Ubiquitous Computing Technique)
"mone
Pengaruh diegetic user interface dalam meningkatkan aspek immersion
pada game bergenre role playing game",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Sistem rekomendasi pembelian pemain menggunakan algoritma content
based filtering pada master league game pro evolution soccer 2020",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"“nee
Prediksi poin pemain pada game playerunknown\'s battleground mode solo
menggunakan algoritma linear regression",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"Prediksi pemilihan hero berdasarkan synergy dan counterpick dalam game
online Dota 2 menggunakan algoritma linear regression",Game Technology and Machine Learning Applications,Klasifikasi sebagai Game Technology and Machine Learning Applications
"mono
Prediksi kemenangan tim pada game mobile legend menggunakan atribut
hero dengan metode k-means clustering pada naive bayes",Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),Klasifikasi sebagai Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science)
